yellow_x,yellow_y,yellow_z,blue_x,blue_y,blue_z
55 blue X=-20509.004 Y=-26009.430 Z=110.000,,,,,
56 yellow X=-20742.555 Y=-25578.121 Z=110.000,,,,,
56 blue X=-20423.314 Y=-25721.598 Z=110.000,,,,,
57 yellow X=-20533.543 Y=-25237.943 Z=110.000,,,,,
57 blue X=-20262.805 Y=-25459.756 Z=110.000,,,,,
58 yellow X=-20214.486 Y=-25004.809 Z=110.000,,,,,
58 blue X=-20064.564 Y=-25321.074 Z=110.000,,,,,
59 yellow X=-19842.281 Y=-24856.766 Z=110.000,,,,,
59 blue X=-19721.512 Y=-25185.270 Z=110.000,,,,,
60 yellow X=-19472.559 Y=-24703.357 Z=110.000,,,,,
60 blue X=-19312.637 Y=-25014.686 Z=110.000,,,,,
61 yellow X=-19155.652 Y=-24463.256 Z=110.000,,,,,
61 blue X=-18909.508 Y=-24712.078 Z=110.000,,,,,
62 yellow X=-18897.627 Y=-24158.609 Z=110.000,,,,,
62 blue X=-18609.885 Y=-24357.867 Z=110.000,,,,,
63 yellow X=-18707.209 Y=-23807.957 Z=110.000,,,,,
63 blue X=-18383.258 Y=-23940.455 Z=110.000,,,,,
64 yellow X=-18595.814 Y=-23425.277 Z=110.000,,,,,
64 blue X=-18251.186 Y=-23486.359 Z=110.000,,,,,
65 yellow X=-18555.762 Y=-23027.230 Z=110.000,,,,,
65 blue X=-18206.064 Y=-23041.797 Z=110.000,,,,,
66 yellow X=-18555.656 Y=-22626.543 Z=110.000,,,,,
66 blue X=-18205.895 Y=-22613.645 Z=110.000,,,,,
67 yellow X=-18583.943 Y=-22227.258 Z=110.000,,,,,
67 blue X=-18235.891 Y=-22190.383 Z=110.000,,,,,
68 yellow X=-18645.088 Y=-21832.227 Z=110.000,,,,,
68 blue X=-18303.826 Y=-21754.508 Z=110.000,,,,,
69 yellow X=-18784.523 Y=-21459.898 Z=110.000,,,,,
69 blue X=-18476.053 Y=-21294.533 Z=110.000,,,,,
70 yellow X=-18985.496 Y=-21114.277 Z=110.000,,,,,
70 blue X=-18682.201 Y=-20939.600 Z=110.000,,,,,
71 yellow X=-19189.582 Y=-20772.297 Z=110.000,,,,,
71 blue X=-18896.957 Y=-20580.279 Z=110.000,,,,,
72 yellow X=-19415.885 Y=-20440.945 Z=110.000,,,,,
72 blue X=-19128.629 Y=-20240.984 Z=110.000,,,,,
73 yellow X=-19643.561 Y=-20110.535 Z=110.000,,,,,
73 blue X=-19353.273 Y=-19915.000 Z=110.000,,,,,
74 yellow X=-19859.613 Y=-19773.018 Z=110.000,,,,,
74 blue X=-19559.043 Y=-19593.691 Z=110.000,,,,,
75 yellow X=-20045.008 Y=-19417.896 Z=110.000,,,,,
75 blue X=-19723.051 Y=-19280.621 Z=110.000,,,,,
76 yellow X=-20164.439 Y=-19037.936 Z=110.000,,,,,
76 blue X=-19823.510 Y=-18958.771 Z=110.000,,,,,
77 yellow X=-20220.154 Y=-18642.785 Z=110.000,,,,,
77 blue X=-19870.475 Y=-18627.793 Z=110.000,,,,,
78 yellow X=-20194.086 Y=-18244.975 Z=110.000,,,,,
78 blue X=-19849.377 Y=-18305.604 Z=110.000,,,,,
79 yellow X=-20086.400 Y=-17860.574 Z=110.000,,,,,
79 blue X=-19760.145 Y=-17987.293 Z=110.000,,,,,
80 yellow X=-19887.262 Y=-17515.803 Z=110.000,,,,,
80 blue X=-19604.264 Y=-17721.746 Z=110.000,,,,,
81 yellow X=-19634.934 Y=-17204.195 Z=110.000,,,,,
81 blue X=-19370.873 Y=-17433.918 Z=110.000,,,,,
82 yellow X=-19368.613 Y=-16904.092 Z=110.000,,,,,
82 blue X=-19106.340 Y=-17135.852 Z=110.000,,,,,
83 yellow X=-19113.984 Y=-16595.410 Z=110.000,,,,,
83 blue X=-18831.086 Y=-16801.488 Z=110.000,,,,,
84 yellow X=-18912.947 Y=-16251.479 Z=110.000,,,,,
84 blue X=-18601.471 Y=-16411.109 Z=110.000,,,,,
85 yellow X=-18804.965 Y=-15871.309 Z=110.000,,,,,
85 blue X=-18455.367 Y=-15888.072 Z=110.000,,,,,
86 yellow X=-18813.844 Y=-15475.224 Z=110.000,,,,,
86 blue X=-18465.418 Y=-15442.066 Z=110.000,,,,,
87 yellow X=-18888.195 Y=-15080.443 Z=110.000,,,,,
87 blue X=-18547.998 Y=-14998.191 Z=110.000,,,,,
88 yellow X=-18988.736 Y=-14691.065 Z=110.000,,,,,
88 blue X=-18650.383 Y=-14601.531 Z=110.000,,,,,
